"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X6.1_DietBreadth","X12.1_HabitatBreadth","X12.2_Terrestriality","X6.2_TrophicLevel","X16.2_LittersPerYear_EXT","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical","logBodyMass_g","logHeadBodyLen_mm","logAgeatFirstBirth_d","logGestationLen_d","logGR_Area_km2","logHomeRange_km2","logHomeRange_Indiv_km2","logHuPopDen_Min_n.km2","logHuPopDen_Mean_n.km2","logHuPopDen_5p_n.km2","logInterbirthInterval_d","logLitterSize","logMaxLongevity_m","logNeonateBodyMass_g","logPopulationDensity_n.km2","logPopulationGrpSize","logSexualMaturityAge_d","logX10.2_SocialGrpSize","logWeaningAge_d","Temp_Mean_01degC4","logBodyMass_g_Resid"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis","3","1","3","1","1",1.0326306646923,3.5,-3.85,-0.17,25.29,16.08,20.68,0.16,157.4,1517.75,1589.35,1,8.4658914759406,6.13120475011641,6.27775156078967,4.62544410099233,13.3196247604873,2.55877768100507,2.05416502348532,0.693147180559945,2.15059873599616,0.693147180559945,5.50265356060681,0.00995033085316809,5.62040086571715,5.48359288941835,3.36139865542304,3.18534970214116,6.4925906781528,3.68887945411394,4.66485318814926,40.1040043703701,0.421284489569849
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis","2","4","1","2","2",1.41804759828163,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,1388.15,1653.74,1,4.35786200767458,4.89776517030052,5.69064889162222,4.70118400421892,10.6569783742647,-4.29103130507377,-4.18797766120053,2.19722457733622,3.40153065945228,2.484906649788,5.32311831656334,0,4.90002457451369,2.58471059740914,2.54157072225241,0.693147180559945,5.97921252392789,0,3.68887945411394,17.0387732099079,-0.764079046728342
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul","3","6","1","2","2",0.82511482809947,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0.12,164.35,1286.55,1549.83,0,8.72549271324286,6.31060894874962,7.24005140111992,5.44657203330848,14.4571337701651,0.083380705978056,0.0711231463861663,0,2.81720351499873,0,6.53849078465543,-0.0100503358535015,6.15863462598729,5.68105192222445,2.83321334405622,2.13235213245243,7.19856761535711,2.00148000021012,6.04936945949224,38.2747779171845,0.0330933507678481
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya","3","3","1","2","1",1.14,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0.11,116.64,1193.12,1404.85,0,8.62639910404897,6.32464565963098,7.21092923020184,5.22531647366355,14.2438691652935,-1.55179156187568,-1.43371632768082,0,2.48573963609189,0.693147180559945,5.82192100267324,0.00995033085316809,5.49552753583574,5.56298666469074,4.38202663467388,1.97288773986648,7.15204956809093,2.18605127673809,5.77814755661151,27.5053887202552,0.207516135012229
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis","3","2","1","2","2",1.17981614462795,7.94,7.31,7.63,-81.23,-81.89,-81.56,0.15,162,1068.62472728808,1224.90257854631,0,8.76752808919186,6.46307963937957,7.53397522165767,4.81162757014749,7.05545088385486,-0.78829584561169,-0.35788553705971,2.07944154167984,2.68512269645851,2.07944154167984,5.88449961902526,0.240457817601731,5.70377830392517,5.63895876767238,1.17412861960702,2.58486133598818,6.96132443716275,1.64865862558738,5.87069079868933,50.06411536,0.324672481803163
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba","3","4","1","2","1",0.936377172888303,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,0.06,133.23,1225.7,1332.19,0,8.55416715174032,6.2432538626121,7.8934460380918,5.3884768040676,13.6237193694028,-3.50655789731998,-3.70009273398271,1.79175946922805,4.66126692533996,2.56494935746154,6.55288507072051,-0.0100503358535015,4.94160248569617,5.77019547651894,4.48964709473255,1.55543623693134,7.39108697067187,2.00148000021012,5.67479458464363,14.85450490571,-0.116774756548605
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli","1","4","2","2","2",1.61389961054219,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0.12,162.09,1501.28,1695.13,0,4.43434102347147,4.92240606718231,6.02750276347825,4.85549512369046,14.3338150888529,-5.07806324137598,-5.46315704449458,0,1.04380405217311,0,4.97307187354129,0.585247253016213,4.63472898822964,2.48657636591298,4.97734399324409,1.01115557583988,5.88611410740166,1.69079004195327,3.71143419353946,38.9064842187891,-0.537873585854546
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima","1","2","3","1","1",1.55056891100989,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0.09,170.18,1417.52,1594.65,0,5.40102159029504,5.41988611310593,5.55740704463572,4.75949987305172,12.1226600578504,-1.21063518693814,-1.53297356740242,0,0.364643113587909,0,5.28216845832787,0.374230210453432,5.12643772371837,2.81426061612511,2.19144386705288,2.82823889558577,5.64608273785683,1.90727718522317,4.33412609153813,43.4484359569084,-0.0107500264955593
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata","3","2","1","2","1",0.8,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,1299.96,1633.87,0,8.79133247285014,6.35671511504702,7.23138106647382,5.22262352217884,13.2348969609874,-1.66073120682165,-1.17118298150295,1.09861228866811,4.13003340463061,1.6094379124341,6.5284987070421,0.0198026272961797,5.7037824746562,5.76296291689223,4.07736793801498,3.34620083754253,7.36417962568743,2.57261223020711,6.20576914975499,31.7523959842111,0.0117583304973681
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra","3","2","1","2","1",0.797296087628571,21.6,16,18.8,-86.73,-92.43,-89.58,0.24,134.13,1373.84,1580.84,0,8.87794820055729,6.34025347802259,7.56435365374242,5.22531647366355,11.4228344416432,-1.20397280432594,-0.776528789498996,1.38629436111989,2.80517691183293,1.38629436111989,6.80719595912521,0.00995033085316809,5.48063892334199,6.17378610390194,2.14358936150359,2.58578503789531,7.50404035655533,1.70474809223843,5.80386668753571,39.5522862492215,-0.192777529720927
