"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X6.1_DietBreadth","X12.1_HabitatBreadth","X12.2_Terrestriality","X6.2_TrophicLevel","X16.2_LittersPerYear_EXT","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical","logBodyMass_g","logHeadBodyLen_mm","logAgeatFirstBirth_d","logGestationLen_d","logGR_Area_km2","logHomeRange_km2","logHomeRange_Indiv_km2","logHuPopDen_Min_n.km2","logHuPopDen_Mean_n.km2","logHuPopDen_5p_n.km2","logInterbirthInterval_d","logLitterSize","logMaxLongevity_m","logNeonateBodyMass_g","logPopulationDensity_n.km2","logPopulationGrpSize","logSexualMaturityAge_d","logX10.2_SocialGrpSize","logWeaningAge_d","Temp_Mean_01degC4","logBodyMass_g_Resid"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis","3","4","1","2","2",1.18991129353974,3.5,-3.85,-0.17,25.29,16.08,20.68,0.16,157.4,1517.75,1589.35,1,8.4658914759406,6.13120475011641,7.13847652744068,5.2786382706089,13.3196247604873,-0.646780294253949,-0.21114151167857,0.693147180559945,2.15059873599616,0.693147180559945,6.05488634813107,0.00995033085316809,5.62040086571715,5.48359288941835,1.2397727686285,1.68359772825414,7.32952739245632,3.68887945411394,4.66485318814926,40.1040043703701,0.332396238017472
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis","2","4","1","2","2",1.15058676717145,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,1388.15,1653.74,1,4.35786200767458,4.89776517030052,5.99857518445187,4.64921603011615,10.6569783742647,-6.21460809842219,-6.14694944994838,2.19722457733622,3.40153065945228,2.484906649788,5.63061197001019,0,5.11047425138696,1.59774015248301,5.47514260333499,0.693147180559945,5.68620209872376,0,4.08935998131791,17.0387732099079,0.0601051008057674
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul","3","5","1","2","2",0.776332178442646,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0.12,164.35,1286.55,1549.83,0,8.72549271324286,6.31060894874962,7.40531041342978,5.18151476199186,14.4571337701651,-1.51168204013338,-1.90400731414228,0,2.81720351499873,0,6.43835584446715,0.359667562990123,6.50017651266678,5.24482411231149,2.83321334405622,1.47947845576915,7.44055518848714,2.00148000021012,5.86530767014276,38.2747779171845,0.429986239697077
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya","3","3","1","2","1",1.14,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0.11,116.64,1193.12,1404.85,0,8.62639910404897,6.32464565963098,7.21092923020184,5.22531647366355,14.2438691652935,-0.166901131367324,0.275018378819604,0,2.48573963609189,0.693147180559945,5.82192100267324,0.00995033085316809,5.49552753583574,5.56298666469074,4.38202663467388,2.61650774820652,7.15204956809093,2.18605127673809,5.77814755661151,27.5053887202552,0.268910212593085
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis","3","1","1","1","1",1.64958976842358,7.94,7.31,7.63,-81.23,-81.89,-81.56,0.15,162,855.241447415299,1244.80953076823,0,7.09322449203519,6.08892920743089,7.25116891604357,4.94826640066767,7.05545088385486,-0.535891190902559,-0.0127764663830396,2.07944154167984,2.68512269645851,2.07944154167984,4.97307187354129,0.494122318743856,4.89244901629959,4.20735937586973,2.91838585022284,1.02142511770873,5.94248560689202,1.64865862558738,4.37654341595144,50.06411536,0.378303792300717
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba","3","4","1","2","1",0.671979230118156,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,0.06,133.23,1225.7,1332.19,0,8.55416715174032,6.2432538626121,7.4805765755171,5.6159707774958,13.6237193694028,-3.50655789731998,-2.4960546019623,1.79175946922805,4.66126692533996,2.56494935746154,6.99860631197733,0.0431607753533048,5.77167414803808,4.90921053229362,4.48964709473255,4.71849887129509,7.40331075582664,2.00148000021012,6.12918444543296,14.85450490571,0.432886220302295
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli","1","1","3","1","1",1.07966824595922,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0.12,162.09,1501.28,1695.13,0,6.91902342292184,5.61842237424087,6.17587342918073,4.52946691780854,14.3338150888529,0.164651289548581,0.00971225075621385,0,1.04380405217311,0,5.8216463485368,0.344319347609176,5.04401895942922,4.00056581587195,4.35093223977082,3.13404501121259,6.08133213127481,2.84678803620453,4.74174736020017,38.9064842187891,0.261837427730937
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima","1","1","3","1","1",1.74935355216794,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0.09,170.18,1417.52,1594.65,0,5.78172346201826,5.48754871943441,5.55740704463572,4.55596246801643,12.1226600578504,-1.82047262625312,-1.19183866452726,0,0.364643113587909,0,4.97307187354129,0.37087480786454,4.63472898822964,2.8188695485293,3.6366477677615,0.362554648551555,5.64608273785683,1.45362149372331,3.71676158206874,43.4484359569084,0.670260309814913
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata","3","2","1","2","1",0.8,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,1299.96,1633.87,0,8.79133247285014,6.35671511504702,7.23138106647382,5.22262352217884,13.2348969609874,-1.66073120682165,-1.17118298150295,1.09861228866811,4.13003340463061,1.6094379124341,6.5284987070421,0.0198026272961797,5.7037824746562,5.76296291689223,4.07736793801498,3.15804753936167,7.36417962568743,2.57261223020711,6.20576914975499,31.7523959842111,0.0387518327428959
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra","3","2","1","2","1",0.798808679578162,21.6,16,18.8,-86.73,-92.43,-89.58,0.24,134.13,1373.84,1580.84,0,8.87794820055729,6.34025347802259,7.61272815002506,5.22531647366355,11.4228344416432,-1.20397280432594,-0.776528789498996,1.38629436111989,2.80517691183293,1.38629436111989,6.62962866958985,0.00995033085316809,5.48063892334199,6.17378610390194,2.14358936150359,1.49185945177478,7.0679403507433,1.70474809223843,5.5009236082696,39.5522862492215,-0.187233742384722
"11","Alouatta_sara",0,0,0,"Primates","Atelidae","Alouatta","sara","3","5","3","2","2",1.2564465991624,-9.94,-19.49,-14.72,-57.79,-69.22,-63.5,0.13,109.48,1270.73,1488.29,0,8.79649625783713,6.15192588846332,7.01248515491549,4.95091161681124,13.1744666756502,0.809190460448509,0.65774112364596,0,1.11185751541813,0,5.62950730805704,0.119531182117592,5.54127517129259,5.6893511413633,1.8340546959674,2.56555400975226,6.86336750977218,4.51305489708029,4.60553317961687,35.9653428651077,0.575557479677293
"12","Alouatta_seniculus",1,1,1,"Primates","Atelidae","Alouatta","seniculus","3","6","1","2","2",0.93,12.2,-10.84,0.68,-60.66,-77.13,-68.89,0.1,182.34,1449.76,1574.93,0,8.76378917197712,6.32831171343427,7.42159635170859,5.24649761781824,14.7385167744115,-2.30258509299405,-1.83258146374831,0,3.14802408389625,0,6.22920110072509,0.350656871613169,5.7037824746562,5.6816050297115,3.79526444481795,1.47305603052466,7.43261397695955,2.06686275947298,5.91361110790312,39.5775270182012,0.11677771433666
"13","Aotus_azarae",0,0,0,"Primates","Aotidae","Aotus","azarae","1","2","1","2","2",1.1,-9.91,-24.19,-17.05,-57.59,-68.65,-63.12,0.14,101.09,1186.23,1410.79,0,6.83472211363197,5.67539108455181,6.23954494768476,4.99281236172968,13.4052966722387,-0.950752420120049,-1.37096640025714,0,0.22314355131421,0,5.89989735358249,0,5.27812017323765,4.55783678383702,2.76883167336207,1.04141986027657,6.74259246821843,1.41098697371026,5.43673057370166,36.7470730388837,-0.467511209401728
