"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X6.1_DietBreadth","X12.1_HabitatBreadth","X12.2_Terrestriality","X6.2_TrophicLevel","X16.2_LittersPerYear_EXT","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical","logBodyMass_g","logHeadBodyLen_mm","logAgeatFirstBirth_d","logGestationLen_d","logGR_Area_km2","logHomeRange_km2","logHomeRange_Indiv_km2","logHuPopDen_Min_n.km2","logHuPopDen_Mean_n.km2","logHuPopDen_5p_n.km2","logInterbirthInterval_d","logLitterSize","logMaxLongevity_m","logNeonateBodyMass_g","logPopulationDensity_n.km2","logPopulationGrpSize","logSexualMaturityAge_d","logX10.2_SocialGrpSize","logWeaningAge_d","Temp_Mean_01degC4","logBodyMass_g_Resid"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis","3","3","3","1","2",1.114093579094,3.5,-3.85,-0.17,25.29,16.08,20.68,0.16,157.4,1517.75,1589.35,1,8.4658914759406,6.13120475011641,7.40926440417839,5.16520215919067,13.3196247604873,0.421056287465733,1.45924560814164,0.693147180559945,2.15059873599616,0.693147180559945,6.07331844217086,0.00995033085316809,5.62040086571715,5.48359288941835,1.9518966048381,4.58942625235608,7.05928129287871,3.68887945411394,4.66485318814926,40.1040043703701,0.424593325842478
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis","2","4","1","2","2",1.42695505890211,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,1388.15,1653.74,1,4.35786200767458,4.89776517030052,5.59279907287452,4.81406754882181,10.6569783742647,-4.4106334322423,-4.28940820349363,2.19722457733622,3.40153065945228,2.484906649788,5.35291087310502,0,4.83059048598586,2.50362658617047,6.23083571552684,0.693147180559945,5.64608273785683,0,3.68887945411394,17.0387732099079,-0.500170858385884
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul","3","4","1","2","1",1.01720471040737,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0.12,164.35,1286.55,1549.83,0,8.72549271324286,6.31060894874962,7.38537348223362,4.70383743263148,14.4571337701651,0.284246527643838,1.05654905000946,0,2.81720351499873,0,5.79049177691501,0.261548576565423,5.59504013711153,5.41515325426197,2.83321334405622,1.72751827922873,7.18804728644392,2.00148000021012,5.53053699899244,38.2747779171845,0.490885586707503
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya","3","3","1","2","1",1.14,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0.11,116.64,1193.12,1404.85,0,8.62639910404897,6.32464565963098,7.21092923020184,5.22531647366355,14.2438691652935,-1.4107392106084,-1.61576068475193,0,2.48573963609189,0.693147180559945,5.82192100267324,0.00995033085316809,5.49552753583574,5.56298666469074,4.38202663467388,1.24440612291551,7.15204956809093,2.18605127673809,5.77814755661151,27.5053887202552,0.330900663752733
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis","3","3","2","2","2",1.6651970729306,7.94,7.31,7.63,-81.23,-81.89,-81.56,0.15,162,1513.48746653788,1760.65882822803,0,6.2111080771861,5.20572787389893,6.67452625473539,5.00496086428981,7.05545088385486,-2.62039135851293,-1.28461505307672,2.07944154167984,2.68512269645851,2.07944154167984,4.97307187354129,0.174476223080082,5.20895038848105,3.55021094574632,3.00345487162176,1.98668060135478,6.20841663208586,1.64865862558738,4.87254059591582,50.06411536,0.0202390464826532
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba","3","4","1","2","1",0.529645904012105,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,0.06,133.23,1225.7,1332.19,0,8.55416715174032,6.2432538626121,7.32992793066607,4.99534251578258,13.6237193694028,-3.50655789731998,-3.51322451941734,1.79175946922805,4.66126692533996,2.56494935746154,6.90474358748616,0.359831565719779,5.66952808521407,5.04961071887692,4.48964709473255,2.45479075719575,7.43523917712209,2.00148000021012,5.89224671324037,14.85450490571,0.0922859383646728
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli","1","2","3","1","2",1.13214243992933,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0.12,162.09,1501.28,1695.13,0,4.51184542074216,4.73274206862814,6.50439718001505,4.65148723970395,14.3338150888529,-6.20437284089284,-5.09748428272012,0,1.04380405217311,0,5.92153227850079,-0.0100503358535015,4.63472898822964,3.60677061953701,6.23083571552684,1.40704545060764,5.71703952566413,1.35473788269816,5.51730786662773,38.9064842187891,-2.08404870595756
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima","3","6","1","1","1",1.06127845663581,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0.09,170.18,1417.52,1594.65,0,8.29433600750102,6.00321265235272,7.6222762374895,5.37671526265825,12.1226600578504,-1.51974015959502,-1.33863884572063,0,0.364643113587909,0,5.94531816710347,0.602440127612073,5.74109255428844,4.59399003153279,4.44992307675415,0,6.99381109166875,0,4.79322349204021,43.4484359569084,0.544658316377736
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata","3","2","1","2","1",0.8,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,1299.96,1633.87,0,8.79133247285014,6.35671511504702,7.23138106647382,5.22262352217884,13.2348969609874,-1.66073120682165,-1.17118298150295,1.09861228866811,4.13003340463061,1.6094379124341,6.5284987070421,0.0198026272961797,5.7037824746562,5.76296291689223,4.07736793801498,2.96235798706216,7.36417962568743,2.57261223020711,6.20576914975499,31.7523959842111,0.0210351870587687
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra","3","2","1","2","1",0.903601829517398,21.6,16,18.8,-86.73,-92.43,-89.58,0.24,134.13,1373.84,1580.84,0,8.87794820055729,6.34025347802259,7.23618574629179,5.22531647366355,11.4228344416432,-1.20397280432594,-0.776528789498996,1.38629436111989,2.80517691183293,1.38629436111989,6.60622061180262,0.00995033085316809,5.48063892334199,6.17378610390194,2.14358936150359,1.09226774779678,7.44043806438688,1.70474809223843,5.52453968885186,39.5522862492215,0.0972057484836872
