Species,NewWorld,Detected,ZikaDetected,mean.score,median.score,sd.score,NA.nums
Allenopithecus_nigroviridis,FALSE,FALSE,FALSE,0.297,0.265,0.175,13
Allocebus_trichotis,FALSE,FALSE,FALSE,0.075,0.077,0.052,11
Alouatta_belzebul,TRUE,FALSE,FALSE,0.208,0.199,0.1,14
Alouatta_caraya,TRUE,TRUE,FALSE,0.326,0.317,0.12,5
Alouatta_coibensis,TRUE,FALSE,FALSE,0.061,0.051,0.051,21
Alouatta_guariba,TRUE,FALSE,FALSE,0.129,0.11,0.08,11
Alouatta_macconnelli,TRUE,FALSE,FALSE,0.166,0.119,0.102,21
Alouatta_nigerrima,TRUE,FALSE,FALSE,0.082,0.085,0.055,21
Alouatta_palliata,TRUE,FALSE,FALSE,0.259,0.242,0.117,1
Alouatta_pigra,TRUE,FALSE,FALSE,0.103,0.09,0.057,6
Alouatta_sara,TRUE,FALSE,FALSE,0.185,0.163,0.132,19
Alouatta_seniculus,TRUE,TRUE,FALSE,0.355,0.333,0.11,1
Aotus_azarae,TRUE,FALSE,FALSE,0.068,0.077,0.045,9
Aotus_hershkovitzi,TRUE,FALSE,FALSE,0.031,0.031,0.021,15
Aotus_lemurinus,TRUE,FALSE,FALSE,0.154,0.148,0.087,5
Aotus_miconax,TRUE,FALSE,FALSE,0.048,0.056,0.03,15
Aotus_nancymaae,TRUE,FALSE,FALSE,0.047,0.051,0.033,12
Aotus_nigriceps,TRUE,FALSE,FALSE,0.12,0.125,0.102,12
Aotus_trivirgatus,TRUE,FALSE,FALSE,0.168,0.137,0.099,1
Aotus_vociferans,TRUE,FALSE,FALSE,0.099,0.086,0.071,12
Arctocebus_aureus,FALSE,FALSE,FALSE,0.081,0.082,0.056,20
Arctocebus_calabarensis,FALSE,FALSE,FALSE,0.064,0.074,0.038,5
Ateles_belzebuth,TRUE,FALSE,FALSE,0.16,0.161,0.068,7
Ateles_chamek,TRUE,FALSE,FALSE,0.115,0.095,0.086,12
Ateles_fusciceps,TRUE,FALSE,FALSE,0.107,0.109,0.05,5
Ateles_geoffroyi,TRUE,FALSE,FALSE,0.202,0.172,0.173,1
Ateles_hybridus,TRUE,FALSE,FALSE,0.112,0.082,0.096,21
Ateles_marginatus,TRUE,FALSE,FALSE,0.09,0.094,0.059,14
Ateles_paniscus,TRUE,FALSE,FALSE,0.232,0.228,0.064,1
Avahi_laniger,FALSE,FALSE,FALSE,0.08,0.08,0.054,5
Avahi_occidentalis,FALSE,FALSE,FALSE,0.068,0.05,0.065,10
Avahi_unicolor,FALSE,FALSE,FALSE,0.04,0.045,0.028,21
Brachyteles_arachnoides,TRUE,FALSE,FALSE,0.052,0.062,0.032,3
Brachyteles_hypoxanthus,TRUE,FALSE,FALSE,0.072,0.079,0.052,20
Bunopithecus_hoolock,FALSE,FALSE,FALSE,0.07,0.084,0.043,6
Cacajao_calvus,TRUE,FALSE,FALSE,0.104,0.109,0.058,4
Cacajao_melanocephalus,TRUE,FALSE,FALSE,0.139,0.152,0.071,12
Callicebus_baptista,TRUE,FALSE,FALSE,0.062,0.044,0.047,21
Callicebus_barbarabrownae,TRUE,FALSE,FALSE,0.206,0.144,0.153,21
Callicebus_brunneus,TRUE,FALSE,FALSE,0.071,0.077,0.047,13
Callicebus_caligatus,TRUE,FALSE,FALSE,0.106,0.088,0.084,30
Callicebus_cinerascens,TRUE,FALSE,FALSE,0.072,0.073,0.057,15
Callicebus_coimbrai,TRUE,FALSE,FALSE,0.08,0.086,0.053,21
Callicebus_cupreus,TRUE,FALSE,FALSE,0.086,0.108,0.054,8
Callicebus_donacophilus,TRUE,FALSE,FALSE,0.062,0.072,0.038,15
Callicebus_dubius,TRUE,FALSE,FALSE,0.121,0.048,0.134,30
Callicebus_hoffmannsi,TRUE,FALSE,FALSE,0.075,0.068,0.059,15
Callicebus_medemi,TRUE,FALSE,FALSE,0.074,0.078,0.052,21
Callicebus_melanochir,TRUE,FALSE,FALSE,0.08,0.067,0.07,21
Callicebus_modestus,TRUE,FALSE,FALSE,0.069,0.063,0.05,15
Callicebus_moloch,TRUE,FALSE,FALSE,0.143,0.167,0.076,1
Callicebus_nigrifrons,TRUE,FALSE,FALSE,0.13,0.124,0.087,21
Callicebus_oenanthe,TRUE,FALSE,FALSE,0.046,0.046,0.032,15
Callicebus_olallae,TRUE,FALSE,FALSE,0.037,0.043,0.023,15
Callicebus_ornatus,TRUE,FALSE,FALSE,0.078,0.055,0.062,21
Callicebus_pallescens,TRUE,FALSE,FALSE,0.093,0.096,0.051,21
Callicebus_personatus,TRUE,FALSE,FALSE,0.1,0.116,0.069,9
Callicebus_torquatus,TRUE,FALSE,FALSE,0.235,0.057,0.374,22
Callimico_goeldii,TRUE,FALSE,FALSE,0.142,0.169,0.087,1
Callithrix_acariensis,TRUE,FALSE,FALSE,0.094,0.064,0.078,21
Callithrix_argentata,TRUE,FALSE,FALSE,0.111,0.124,0.056,6
Callithrix_aurita,TRUE,FALSE,FALSE,0.08,0.085,0.054,10
Callithrix_chrysoleuca,TRUE,FALSE,FALSE,0.082,0.091,0.052,20
Callithrix_emiliae,TRUE,FALSE,FALSE,0.076,0.065,0.062,20
Callithrix_flaviceps,TRUE,FALSE,FALSE,0.06,0.064,0.038,9
Callithrix_geoffroyi,TRUE,FALSE,FALSE,0.09,0.09,0.061,17
Callithrix_humeralifera,TRUE,FALSE,FALSE,0.102,0.102,0.074,8
Callithrix_humilis,TRUE,FALSE,FALSE,0.136,0.126,0.093,21
Callithrix_intermedia,TRUE,FALSE,FALSE,0.103,0.101,0.072,16
Callithrix_jacchus,TRUE,FALSE,FALSE,0.212,0.219,0.075,3
Callithrix_kuhlii,TRUE,FALSE,FALSE,0.096,0.114,0.06,13
Callithrix_leucippe,TRUE,FALSE,FALSE,0.081,0.08,0.055,20
Callithrix_manicorensis,TRUE,FALSE,FALSE,0.054,0.058,0.038,21
Callithrix_marcai,TRUE,FALSE,FALSE,0.076,0.066,0.062,21
Callithrix_mauesi,TRUE,FALSE,FALSE,0.06,0.052,0.056,16
Callithrix_melanura,TRUE,FALSE,FALSE,0.091,0.085,0.048,21
Callithrix_nigriceps,TRUE,FALSE,FALSE,0.072,0.072,0.048,14
Callithrix_penicillata,TRUE,FALSE,FALSE,0.189,0.217,0.097,14
Callithrix_pygmaea,TRUE,FALSE,FALSE,0.056,0.068,0.033,1
Callithrix_saterei,TRUE,FALSE,FALSE,0.124,0.124,0.092,20
Cebus_albifrons,TRUE,FALSE,FALSE,0.407,0.405,0.138,1
Cebus_apella,TRUE,TRUE,FALSE,0.615,0.662,0.204,1
Cebus_capucinus,TRUE,FALSE,FALSE,0.269,0.256,0.096,1
Cebus_kaapori,TRUE,FALSE,FALSE,0.154,0.138,0.096,19
Cebus_libidinosus,TRUE,FALSE,FALSE,0.111,0.097,0.093,21
Cebus_nigritus,TRUE,FALSE,FALSE,0.17,0.182,0.066,11
Cebus_olivaceus,TRUE,FALSE,FALSE,0.261,0.236,0.145,3
Cebus_xanthosternos,TRUE,FALSE,FALSE,0.097,0.074,0.093,20
Cercocebus_agilis,FALSE,FALSE,FALSE,0.201,0.152,0.168,19
Cercocebus_atys,FALSE,TRUE,FALSE,0.27,0.284,0.074,10
Cercocebus_chrysogaster,FALSE,FALSE,FALSE,0.108,0.117,0.065,21
Cercocebus_galeritus,FALSE,FALSE,FALSE,0.139,0.089,0.128,5
Cercocebus_sanjei,FALSE,FALSE,FALSE,0.056,0.048,0.044,21
Cercocebus_torquatus,FALSE,FALSE,FALSE,0.231,0.216,0.087,6
Cercopithecus_albogularis,FALSE,FALSE,FALSE,0.545,0.538,0.293,15
Cercopithecus_ascanius,FALSE,FALSE,FALSE,0.233,0.183,0.184,2
Cercopithecus_campbelli,FALSE,FALSE,FALSE,0.089,0.077,0.053,9
