"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X6.1_DietBreadth","X12.1_HabitatBreadth","X12.2_Terrestriality","X6.2_TrophicLevel","X16.2_LittersPerYear_EXT","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical","logBodyMass_g","logHeadBodyLen_mm","logAgeatFirstBirth_d","logGestationLen_d","logGR_Area_km2","logHomeRange_km2","logHomeRange_Indiv_km2","logHuPopDen_Min_n.km2","logHuPopDen_Mean_n.km2","logHuPopDen_5p_n.km2","logInterbirthInterval_d","logLitterSize","logMaxLongevity_m","logNeonateBodyMass_g","logPopulationDensity_n.km2","logPopulationGrpSize","logSexualMaturityAge_d","logX10.2_SocialGrpSize","logWeaningAge_d","Temp_Mean_01degC4","logBodyMass_g_Resid"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis","3","2","1","2","1",1.16241412826386,3.5,-3.85,-0.17,25.29,16.08,20.68,0.16,157.4,1517.75,1589.35,1,8.4658914759406,6.13120475011641,7.22985023010034,5.13778400617579,13.3196247604873,-1.09708284499224,-1.23885852531487,0.693147180559945,2.15059873599616,0.693147180559945,5.82497648318888,0.00995033085316809,5.62040086571715,5.48359288941835,2.1707120699595,2.41586735897628,7.06059248134711,3.68887945411394,4.66485318814926,40.1040043703701,0.438550882895428
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis","2","4","1","2","2",1.4115980202121,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,1388.15,1653.74,1,4.35786200767458,4.89776517030052,6.5922440259603,4.781983905044,10.6569783742647,-5.23909765462612,-4.66757885255747,2.19722457733622,3.40153065945228,2.484906649788,5.34312432925829,0,5.17397624088946,2.9954779109624,5.95754103448408,0.693147180559945,5.64608273785683,0,3.68887945411394,17.0387732099079,-1.049653100499
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul","3","4","1","2","2",1.1593631416585,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0.12,164.35,1286.55,1549.83,0,8.72549271324286,6.31060894874962,8.05991484699252,5.54651409432411,14.4571337701651,-2.48371689031089,-1.91047404152218,0,2.81720351499873,0,6.13369050112152,-0.0100503358535015,5.87987566313824,5.99509399329852,2.83321334405622,1.7023907967365,7.69149634915561,2.00148000021012,5.62683275674036,38.2747779171845,0.151377565380617
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya","3","3","3","1","1",1.14,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0.11,116.64,1193.12,1404.85,0,8.62639910404897,6.32464565963098,7.21092923020184,5.22531647366355,14.2438691652935,-2.37688938349662,-2.12378782607755,0,2.48573963609189,0.693147180559945,5.82192100267324,0.00995033085316809,5.49552753583574,5.56298666469074,4.38202663467388,2.98508296897188,7.15204956809093,2.18605127673809,5.77814755661151,27.5053887202552,0.24636860798308
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis","3","1","1","2","1",1.52999751282513,7.94,7.31,7.63,-81.23,-81.89,-81.56,0.15,162,1328.52409363038,1595.11538184605,0,6.6343533806112,5.48224912312477,6.37105972349192,4.91735633752436,7.05545088385486,-3.16773166409301,-2.44161094493208,2.07944154167984,2.68512269645851,2.07944154167984,5.13736191479017,0.397136482768425,4.63472898822964,3.36676094770246,4.73239544024355,1.81314604556272,5.72194569668254,1.64865862558738,5.14320726643537,50.06411536,0.469746781070029
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba","3","4","1","2","1",0.796842922285863,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,0.06,133.23,1225.7,1332.19,0,8.55416715174032,6.2432538626121,8.08268210800506,5.17676258193211,13.6237193694028,-3.50655789731998,-2.74672200838433,1.79175946922805,4.66126692533996,2.56494935746154,6.56224374157353,0.274044633480998,6.11975865676825,5.52163497751122,4.48964709473255,3.23930753050313,7.99333943278849,2.00148000021012,5.4775012995931,14.85450490571,0.175953037209744
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli","1","2","3","1","1",0.94504908846388,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0.12,162.09,1501.28,1695.13,0,8.99648245358669,6.27343119924774,6.07762133570761,5.26316857688072,14.3338150888529,2.31275791044207,1.89890303320047,0,1.04380405217311,0,6.3244702999488,-0.0100503358535015,5.66372791586518,5.70554706307016,2.9859354440535,2.81124333952641,6.51591130768529,2.81753543428067,5.84050331585452,38.9064842187891,0.18164113532678
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima","1","5","1","2","2",1.12231600615592,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0.09,170.18,1417.52,1594.65,0,6.12429902237644,5.43471246269672,6.54255321228593,4.78508940772191,12.1226600578504,-3.68493641447447,-3.30207336266018,0,0.364643113587909,0,5.89286616735182,0.0241539126744911,5.4928708638291,3.5439216980709,5.52918429732616,2.16621978443259,6.01706420668965,1.41555744613482,4.82615034316604,43.4484359569084,-0.254893234907293
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata","3","2","1","2","1",0.8,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,1299.96,1633.87,0,8.79133247285014,6.35671511504702,7.23138106647382,5.22262352217884,13.2348969609874,-1.66073120682165,-1.17118298150295,1.09861228866811,4.13003340463061,1.6094379124341,6.5284987070421,0.0198026272961797,5.7037824746562,5.76296291689223,4.07736793801498,3.2883792312437,7.36417962568743,2.57261223020711,6.20576914975499,31.7523959842111,-0.0686884785178459
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra","3","2","1","2","1",0.489254625395998,21.6,16,18.8,-86.73,-92.43,-89.58,0.24,134.13,1373.84,1580.84,0,8.87794820055729,6.34025347802259,7.67973847812648,5.22531647366355,11.4228344416432,-1.20397280432594,-0.776528789498996,1.38629436111989,2.80517691183293,1.38629436111989,7.2640520703537,0.00995033085316809,5.48063892334199,6.17378610390194,2.14358936150359,1.04009026473293,7.56303577779914,1.70474809223843,6.02969730682583,39.5522862492215,-0.427082065781596
