"","Spp","flavLabel","ZLabel","Zdiv","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X6.1_DietBreadth","X12.1_HabitatBreadth","X12.2_Terrestriality","X6.2_TrophicLevel","X16.2_LittersPerYear_EXT","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","paleotropical","logBodyMass_g","logHeadBodyLen_mm","logAgeatFirstBirth_d","logGestationLen_d","logGR_Area_km2","logHomeRange_km2","logHomeRange_Indiv_km2","logHuPopDen_Min_n.km2","logHuPopDen_Mean_n.km2","logHuPopDen_5p_n.km2","logInterbirthInterval_d","logLitterSize","logMaxLongevity_m","logNeonateBodyMass_g","logPopulationDensity_n.km2","logPopulationGrpSize","logSexualMaturityAge_d","logX10.2_SocialGrpSize","logWeaningAge_d","Temp_Mean_01degC4","logBodyMass_g_Resid"
"1","Allenopithecus_nigroviridis",0,0,0,"Primates","Cercopithecidae","Allenopithecus","nigroviridis","3","1","3","1","1",1.05032350021197,3.5,-3.85,-0.17,25.29,16.08,20.68,0.16,157.4,1517.75,1589.35,1,8.4658914759406,6.13120475011641,6.37495165440319,5.18573352545769,13.3196247604873,2.76400491574715,3.44073705381353,0.693147180559945,2.15059873599616,0.693147180559945,6.00208264951241,0.00995033085316809,5.62040086571715,5.48359288941835,0.351290325959738,3.71265481588506,6.55550415373802,3.68887945411394,4.66485318814926,40.1040043703701,0.289028541284527
"2","Allocebus_trichotis",0,0,0,"Primates","Cheirogaleidae","Allocebus","trichotis","2","4","1","2","2",1.60729380418757,-13.99,-19.18,-16.59,50.48,48.22,49.35,0.17,190.23,1388.15,1653.74,1,4.35786200767458,4.89776517030052,5.91002039586695,4.55341518879758,10.6569783742647,-4.28450946836649,-3.06811834151469,2.19722457733622,3.40153065945228,2.484906649788,4.97307187354129,0,4.63472898822964,1.81663709986442,5.73564487189038,0.693147180559945,5.64608273785683,0,3.68887945411394,17.0387732099079,-0.0751258695989046
"3","Alouatta_belzebul",0,1,1,"Primates","Atelidae","Alouatta","belzebul","3","4","1","2","2",1.00149473323982,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0.12,164.35,1286.55,1549.83,0,8.72549271324286,6.31060894874962,7.27358004888935,5.54976180373264,14.4571337701651,0.530606738576469,0.678087371200976,0,2.81720351499873,0,6.08115836646454,-0.0100503358535015,6.01916855365375,5.94853302655138,2.83321334405622,1.21521597714925,7.50104771932624,2.00148000021012,6.19652234037539,38.2747779171845,-0.166370518828407
"4","Alouatta_caraya",1,1,1,"Primates","Atelidae","Alouatta","caraya","3","3","1","1","1",1.14,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0.11,116.64,1193.12,1404.85,0,8.62639910404897,6.32464565963098,7.21092923020184,5.22531647366355,14.2438691652935,-1.06613289522063,-0.170887339065126,0,2.48573963609189,0.693147180559945,5.82192100267324,0.00995033085316809,5.49552753583574,5.56298666469074,4.38202663467388,2.60189077530407,7.15204956809093,2.18605127673809,5.77814755661151,27.5053887202552,0.381684695975957
"5","Alouatta_coibensis",0,0,0,"Primates","Atelidae","Alouatta","coibensis","3","1","3","1","1",1.76,7.94,7.31,7.63,-81.23,-81.89,-81.56,0.15,162,1722.94962600808,1672.57089928965,0,4.30680204569688,4.66558869394654,5.55740704463572,5.15880694965184,7.05545088385486,-2.54251940901103,-2.31607589838067,2.07944154167984,2.68512269645851,2.07944154167984,4.97307187354129,0.538422658169459,4.63472898822964,1.56444054650336,2.45749362386859,1.9023639341294,5.64608273785683,1.64865862558738,3.68887945411394,50.06411536,0.018970264779201
"6","Alouatta_guariba",0,1,1,"Primates","Atelidae","Alouatta","guariba","3","4","1","2","1",0.46,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,0.06,133.23,1225.7,1332.19,0,8.55416715174032,6.2432538626121,8.57404600300902,5.31357394472238,13.6237193694028,-3.50655789731998,-3.85079161200964,1.79175946922805,4.66126692533996,2.56494935746154,7.13272603548519,-0.0032037670346235,6.78875922873208,6.54820473977342,4.48964709473255,2.02766042608328,8.5154167938422,2.00148000021012,6.74131366317486,14.85450490571,-1.25557772848291
"7","Alouatta_macconnelli",0,0,0,"Primates","Atelidae","Alouatta","macconnelli","1","1","3","1","1",1.76,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0.12,162.09,1501.28,1695.13,0,3.62366236633739,4.74366996561988,5.55740704463572,4.51796904558318,14.3338150888529,-3.84141032479323,-4.35656764885757,0,1.04380405217311,0,4.97307187354129,0.387296476681678,4.63906002517392,2.0348600106846,5.46415220123832,1.2296739863074,5.64608273785683,0.511355933386971,3.68887945411394,38.9064842187891,-0.803650783609873
"8","Alouatta_nigerrima",0,0,0,"Primates","Atelidae","Alouatta","nigerrima","1","2","1","2","2",1.75616841371413,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0.09,170.18,1417.52,1594.65,0,3.89193026579014,4.81718418658845,6.2624845564476,4.83611400509901,12.1226600578504,-4.21227160955697,-4.51618833991945,0,0.364643113587909,0,4.97307187354129,0.263056211750381,5.47394820459892,2.05735656020173,3.93086909599624,1.94748899594464,5.88153018620669,0.879989122444693,4.13804784083983,43.4484359569084,-0.656535634303193
"9","Alouatta_palliata",0,1,1,"Primates","Atelidae","Alouatta","palliata","3","2","1","2","1",0.8,18.71,-4.8,6.95,-76.77,-95.57,-86.17,0.13,185.26,1299.96,1633.87,0,8.79133247285014,6.35671511504702,7.23138106647382,5.22262352217884,13.2348969609874,-1.66073120682165,-1.17118298150295,1.09861228866811,4.13003340463061,1.6094379124341,6.5284987070421,0.0198026272961797,5.7037824746562,5.76296291689223,4.07736793801498,2.81232978915148,7.36417962568743,2.57261223020711,6.20576914975499,31.7523959842111,-0.0997207276092355
"10","Alouatta_pigra",0,1,1,"Primates","Atelidae","Alouatta","pigra","3","2","1","2","1",0.585245829794041,21.6,16,18.8,-86.73,-92.43,-89.58,0.24,134.13,1373.84,1580.84,0,8.87794820055729,6.34025347802259,7.49276173590562,5.22531647366355,11.4228344416432,-1.20397280432594,-0.776528789498996,1.38629436111989,2.80517691183293,1.38629436111989,6.91717809928187,0.00995033085316809,5.48063892334199,6.17378610390194,2.14358936150359,1.7724459156564,7.04479301845316,1.70474809223843,5.85624110107242,39.5522862492215,-0.45875381230224
